voltage_ratio[-],true_position(de=f0 mm),true_position(de=f2 mm),true_position(de=f4 mm),true_position(de=f6 mm),true_position(de=f8 mm),true_position(de=f10 mm)
-0.652494662,non,-0.016344,-0.032688,-0.049032,-0.065376,-0.08172
-0.650349749,non,-0.016283467,-0.032566933,-0.0488504,-0.065133867,-0.081417333
-0.648201585,non,-0.016222933,-0.032445867,-0.0486688,-0.064891733,-0.081114667
-0.646050187,non,-0.0161624,-0.0323248,-0.0484872,-0.0646496,-0.080812
-0.643895573,non,-0.016101867,-0.032203733,-0.0483056,-0.064407467,-0.080509333
-0.641737759,non,-0.016041333,-0.032082667,-0.048124,-0.064165333,-0.080206667
-0.639576762,non,-0.0159808,-0.0319616,-0.0479424,-0.0639232,-0.079904
-0.637412599,non,-0.015920267,-0.031840533,-0.0477608,-0.063681067,-0.079601333
-0.635245286,non,-0.015859733,-0.031719467,-0.0475792,-0.063438933,-0.079298667
-0.633074839,non,-0.0157992,-0.0315984,-0.0473976,-0.0631968,-0.078996
-0.630901275,non,-0.015738667,-0.031477333,-0.047216,-0.062954667,-0.078693333
-0.628724611,non,-0.015678133,-0.031356267,-0.0470344,-0.062712533,-0.078390667
-0.626544863,non,-0.0156176,-0.0312352,-0.0468528,-0.0624704,-0.078088
-0.624362047,non,-0.015557067,-0.031114133,-0.0466712,-0.062228267,-0.077785333
-0.622176179,non,-0.015496533,-0.030993067,-0.0464896,-0.061986133,-0.077482667
-0.619987275,non,-0.015436,-0.030872,-0.046308,-0.061744,-0.07718
-0.617795352,non,-0.015375467,-0.030750933,-0.0461264,-0.061501867,-0.076877333
-0.615600425,non,-0.015314933,-0.030629867,-0.0459448,-0.061259733,-0.076574667
-0.61340251,non,-0.0152544,-0.0305088,-0.0457632,-0.0610176,-0.076272
-0.611201624,non,-0.015193867,-0.030387733,-0.0455816,-0.060775467,-0.075969333
-0.608997781,non,-0.015133333,-0.030266667,-0.0454,-0.060533333,-0.075666667
-0.606790998,non,-0.0150728,-0.0301456,-0.0452184,-0.0602912,-0.075364
-0.60458129,non,-0.015012267,-0.030024533,-0.0450368,-0.060049067,-0.075061333
-0.602368673,non,-0.014951733,-0.029903467,-0.0448552,-0.059806933,-0.074758667
-0.600153162,non,-0.0148912,-0.0297824,-0.0446736,-0.0595648,-0.074456
-0.597934773,non,-0.014830667,-0.029661333,-0.044492,-0.059322667,-0.074153333
-0.595713521,non,-0.014770133,-0.029540267,-0.0443104,-0.059080533,-0.073850667
-0.593489422,non,-0.0147096,-0.0294192,-0.0441288,-0.0588384,-0.073548
-0.591262491,non,-0.014649067,-0.029298133,-0.0439472,-0.058596267,-0.073245333
-0.589032742,non,-0.014588533,-0.029177067,-0.0437656,-0.058354133,-0.072942667
-0.586800192,non,-0.014528,-0.029056,-0.043584,-0.058112,-0.07264
-0.584564856,non,-0.014467467,-0.028934933,-0.0434024,-0.057869867,-0.072337333
-0.582326747,non,-0.014406933,-0.028813867,-0.0432208,-0.057627733,-0.072034667
